Concept,Rel,Feature,Frequency,上级类别,下级类别
包子,像,像-馄饨,2.0,食物,固态干粮
包子,需要,需要-配馅,2.0,食物,固态干粮
包子,需要,需要-烹饪,2.0,食物,固态干粮
包子,有,有-淀粉,2.0,食物,固态干粮
包子,有,有-肉馅,2.0,食物,固态干粮
包子,有,有-甜的,2.0,食物,固态干粮
宝石,是,是-石头,11.0,自然物,自然物
宝石,是,是-贵的,10.0,自然物,自然物
宝石,是,是-矿物,10.0,自然物,自然物
宝石,有,有-多种颜色,9.0,自然物,自然物
宝石,是,是-亮的,8.0,自然物,自然物
宝石,是,是-硬的,8.0,自然物,自然物
宝石,是,是-闪亮的,7.0,自然物,自然物
宝石,是,是-珍贵的,7.0,自然物,自然物
宝石,像,像-石头,7.0,自然物,自然物
宝石,需要,需要-打磨,7.0,自然物,自然物
宝石,需要,需要-买,6.0,自然物,自然物
宝石,有,有-价值,6.0,自然物,自然物
宝石,可以,可以-买卖,5.0,自然物,自然物
宝石,可以,可以-收藏,5.0,自然物,自然物
宝石,是,是-坚硬的,5.0,自然物,自然物
宝石,是,是-装饰,5.0,自然物,自然物
宝石,是,是-好看的,4.0,自然物,自然物
宝石,是,是-奢侈品,4.0,自然物,自然物
宝石,像,像-玻璃,4.0,自然物,自然物
宝石,像,像-星星,4.0,自然物,自然物
宝石,像,像-眼睛,4.0,自然物,自然物
宝石,需要,需要-保存,4.0,自然物,自然物
宝石,需要,需要-保护,4.0,自然物,自然物
宝石,需要,需要-切割,4.0,自然物,自然物
宝石,有,有-多种种类,4.0,自然物,自然物
宝石,有,有-光泽,4.0,自然物,自然物
宝石,有,有-棱角,4.0,自然物,自然物
宝石,可以,可以-发光,3.0,自然物,自然物
宝石,可以,可以-观赏,3.0,自然物,自然物
宝石,可以,可以-佩戴,3.0,自然物,自然物
宝石,可以,可以-求婚,3.0,自然物,自然物
宝石,可以,可以-升值,3.0,自然物,自然物
宝石,是,是-菱形的,3.0,自然物,自然物
宝石,像,像-珍珠,3.0,自然物,自然物
宝石,像,像-钻石,3.0,自然物,自然物
宝石,需要,需要-保养,3.0,自然物,自然物
宝石,需要,需要-发掘,3.0,自然物,自然物
宝石,有,有-多种形状,3.0,自然物,自然物
宝石,可以,可以-雕刻,2.0,自然物,自然物
宝石,可以,可以-看,2.0,自然物,自然物
宝石,可以,可以-送礼,2.0,自然物,自然物
宝石,是,是-闪光的,2.0,自然物,自然物
宝石,是,是-透明的,2.0,自然物,自然物
宝石,是,是-稀有的,2.0,自然物,自然物
宝石,像,像-玉石,2.0,自然物,自然物
宝石,需要,需要-擦,2.0,自然物,自然物
宝石,需要,需要-开采,2.0,自然物,自然物
宝石,需要,需要-磨,2.0,自然物,自然物
宝石,需要,需要-抛光,2.0,自然物,自然物
宝石,有,有-多种型号,2.0,自然物,自然物
宝石,有,有-高硬度,2.0,自然物,自然物
宝石,有,有-珊瑚,2.0,自然物,自然物
宝石,有,有-碳酸钙,2.0,自然物,自然物
宝石,有,有-象牙,2.0,自然物,自然物
宝石,有,有-颜色,2.0,自然物,自然物
宝石,有,有-珍珠,2.0,自然物,自然物
杯垫,是,是-生活用品,11.0,人造物,餐具
杯垫,可以,可以-隔热,9.0,人造物,餐具
杯垫,是,是-垫子,9.0,人造物,餐具
杯垫,可以,可以-保护,8.0,人造物,餐具
杯垫,是,是-圆形,8.0,人造物,餐具
杯垫,可以,可以-保护桌子,7.0,人造物,餐具
杯垫,有,有-多种材质,6.0,人造物,餐具
杯垫,需要,需要-清洗,5.0,人造物,餐具
杯垫,有,有-多种型号,5.0,人造物,餐具
杯垫,有,有-多种颜色,5.0,人造物,餐具
杯垫,可以,可以-买卖,4.0,人造物,餐具
杯垫,有,有-多种形状,4.0,人造物,餐具
杯垫,有,有-多种样式,4.0,人造物,餐具
杯垫,有,有-花纹,4.0,人造物,餐具
杯垫,可以,可以-防滑,3.0,人造物,餐具
杯垫,可以,可以-放杯子,3.0,人造物,餐具
杯垫,是,是-方形的,3.0,人造物,餐具
杯垫,是,是-木的,3.0,人造物,餐具
杯垫,是,是-日常的,3.0,人造物,餐具
杯垫,像,像-鼠标垫,3.0,人造物,餐具
杯垫,像,像-坐垫,3.0,人造物,餐具
杯垫,需要,需要-制造,3.0,人造物,餐具
杯垫,有,有-图案,3.0,人造物,餐具
杯垫,有,有-橡胶,3.0,人造物,餐具
杯垫,有,有-形状,3.0,人造物,餐具
杯垫,可以,可以-保护杯子,2.0,人造物,餐具
杯垫,可以,可以-垫杯子,2.0,人造物,餐具
杯垫,可以,可以-垫杯子的,2.0,人造物,餐具
杯垫,可以,可以-耐热的,2.0,人造物,餐具
杯垫,是,是-安保的,2.0,人造物,餐具
杯垫,是,是-薄的,2.0,人造物,餐具
杯垫,是,是-扁的,2.0,人造物,餐具
杯垫,是,是-工具,2.0,人造物,餐具
杯垫,是,是-软的,2.0,人造物,餐具
杯垫,是,是-实用的,2.0,人造物,餐具
杯垫,是,是-塑料,2.0,人造物,餐具
杯垫,像,像-盖子,2.0,人造物,餐具
杯垫,像,像-毯子,2.0,人造物,餐具
杯垫,像,像-圆环,2.0,人造物,餐具
杯垫,像,像-圆盘,2.0,人造物,餐具
杯垫,像,像-桌布,2.0,人造物,餐具
杯垫,需要,需要-加工,2.0,人造物,餐具
杯垫,需要,需要-清洁,2.0,人造物,餐具
杯垫,需要,需要-选择,2.0,人造物,餐具
杯垫,有,有-多种种类,2.0,人造物,餐具
杯垫,有,有-圆形,2.0,人造物,餐具
杯子,需要,需要-清洗,14.0,人造物,餐具
杯子,可以,可以-饮用,12.0,人造物,餐具
杯子,可以,可以-盛东西,11.0,人造物,餐具
杯子,是,是-玻璃,9.0,人造物,餐具
杯子,有,有-把手,9.0,人造物,餐具
杯子,是,是-生活用品,8.0,人造物,餐具
杯子,可以,可以-盛水,6.0,人造物,餐具
杯子,需要,需要-制造,6.0,人造物,餐具
杯子,有,有-多种材质,6.0,人造物,餐具
杯子,有,有-盖子,6.0,人造物,餐具
杯子,是,是-容器,5.0,人造物,餐具
杯子,像,像-水桶,5.0,人造物,餐具
杯子,可以,可以-保暖,4.0,人造物,餐具
杯子,是,是-不锈钢的,4.0,人造物,餐具
杯子,是,是-陶瓷,4.0,人造物,餐具
杯子,是,是-圆形,4.0,人造物,餐具
杯子,有,有-多种颜色,4.0,人造物,餐具
杯子,有,有-多种种类,4.0,人造物,餐具
杯子,可以,可以-接水,3.0,人造物,餐具
杯子,可以,可以-盛液体,3.0,人造物,餐具
杯子,是,是-工具,3.0,人造物,餐具
杯子,是,是-金属,3.0,人造物,餐具
杯子,是,是-器皿,3.0,人造物,餐具
杯子,是,是-日常的,3.0,人造物,餐具
杯子,像,像-瓶子,3.0,人造物,餐具
杯子,像,像-水壶,3.0,人造物,餐具
杯子,像,像-碗,3.0,人造物,餐具
杯子,像,像-圆柱形,3.0,人造物,餐具
杯子,需要,需要-加工,3.0,人造物,餐具
杯子,有,有-杯壁,3.0,人造物,餐具
杯子,有,有-多种形状,3.0,人造物,餐具
杯子,可以,可以-买卖,2.0,人造物,餐具
杯子,可以,可以-泡茶,2.0,人造物,餐具
杯子,是,是-器具,2.0,人造物,餐具
杯子,是,是-塑料,2.0,人造物,餐具
杯子,是,是-用具,2.0,人造物,餐具
杯子,是,是-圆柱形,2.0,人造物,餐具
杯子,像,像-笔筒,2.0,人造物,餐具
杯子,像,像-花瓶,2.0,人造物,餐具
杯子,像,像-树干,2.0,人造物,餐具
杯子,像,像-桶,2.0,人造物,餐具
杯子,需要,需要-材料,2.0,人造物,餐具
杯子,有,有-杯底,2.0,人造物,餐具
杯子,有,有-多种型号,2.0,人造物,餐具
杯子,有,有-多种样式,2.0,人造物,餐具
杯子,有,有-开口,2.0,人造物,餐具
背包,有,有-拉链,14.0,人造物,工具
背包,需要,需要-清洗,11.0,人造物,工具
背包,有,有-背带,11.0,人造物,工具
背包,是,是-包,10.0,人造物,工具
背包,有,有-布,8.0,人造物,工具
背包,可以,可以-买卖,6.0,人造物,工具
背包,有,有-口袋,6.0,人造物,工具
背包,可以,可以-背,5.0,人造物,工具
背包,像,像-袋子,5.0,人造物,工具
背包,需要,需要-制造,5.0,人造物,工具
背包,是,是-容器,4.0,人造物,工具
背包,是,是-双肩的,4.0,人造物,工具
背包,有,有-多种样式,4.0,人造物,工具
背包,有,有-肩带,4.0,人造物,工具
背包,是,是-常见的,3.0,人造物,工具
背包,是,是-方便的,3.0,人造物,工具
背包,是,是-实用的,3.0,人造物,工具
背包,像,像-盒子,3.0,人造物,工具
背包,像,像-书包,3.0,人造物,工具
